Reaction times,Ambulance
0.238,False
0.849,False
0.221,False
0.647,False
0.81,False
0.638,False
0.421,False
0.359,False
0.0,False
0.371,False
0.548,False
0.755,False
0.294,False
0.431,False
0.403,False
0.386,False
0.219,False
0.528,False
0.239,False
0.448,False
0.558,False
0.424,False
0.714,False
0.0,False
