Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.39,False,12062,12452
0.587,False,23761,24348
0.368,False,29653,30021
0.513,False,42224,42737
0.275,False,48196,48471
0.582,False,58103,58685
0.395,False,64067,64462
0,False,70797,
