Game,Mean,Green,Red,Ambulance
1,0.4442857142857143,0.357,0.5606666666666668,
2,0.363375,0.34390476190476194,0.3848947368421053,
3,0.3078461538461538,0.27614285714285713,0.3448333333333333,
4,0.29834375,0.2511875,0.33113333333333334,0.561
5,0.27115,0.2398,0.2974736842105263,0.39799999999999996
