Game,Mean,Green,Red,Ambulance
1,0.47095652173913044,0.40641666666666665,0.5413636363636364,
2,0.43850000000000006,0.38799999999999996,0.41200000000000003,0.643
3,0.35321875,0.3305625,0.3567333333333334,0.6629999999999999
4,0.3845882352941176,0.31043750000000003,0.38100000000000006,0.798
5,0.28879487179487173,0.2643684210526316,0.29657894736842105,0.605
