Start stimulus (sample)
8750
21445
27087
35820
41661
51287
56872
61400
67172
72797
78458
85157
90772
97322
102851
109029
114905
119584
125475
136134
141865
154172
161181
170713
176791
186049
191580
203189
208866
216591
222399
233262
239079
246688
252549
