Start stimulus (sample)
8795
27882
34372
42978
48557
53059
59152
64998
70690
76782
79675
86641
92163
104167
111560
122588
128888
141383
147179
152727
158450
161613
165787
171680
180515
186273
194899
200858
210604
216250
222785
228639
243934
249557
