Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.522,False,23363,23885
0.425,False,36499,36924
0.187,False,42157,42344
0.543,True,49697,50240
0.521,False,54402,54923
0.0,False,64696,64696
0.175,False,82106,82281
0.22,False,87778,87998
0.0,False,94980,94980
0.0,False,106384,106384
0.591,False,121034,121625
0.311,False,135895,136206
0.342,False,141549,141891
0.3,True,145392,145692
0.283,False,149692,149975
