Start stimulus (sample)
8685
20637
26553
36190
41948
46824
52665
65931
72195
79773
85572
97786
103589
108180
114259
115376
124794
130455
139591
145388
153333
159211
171178
176890
185593
191458
201100
208763
215598
221563
230292
236285
246199
251869
261863
267868
