Reaction times,Ambulance
0.415,False
0.595,False
0.294,False
0.484,False
0.677,False
0.501,False
1.06,False
1.007,False
0.308,False
0.552,False
0.417,False
0.539,False
0.317,False
0.645,False
0.241,False
0.693,True
0.359,False
0.87,False
0.434,False
0.621,False
0.522,False
0.689,False
0.522,False
0.309,False
0.532,False
0.442,False
0.965,False
0.337,False
0.627,False
0.462,False
0.649,False
0.565,False
0.401,False
0.552,False
0.667,False
0.261,False
