Start stimulus (sample)
11967
26617
32385
39284
45190
52814
58597
65092
70963
81673
87466
96784
103257
114384
120283
127935
134669
135349
141386
147367
157038
162965
169688
175464
185207
191094
192795
198995
208590
214326
224245
230169
244242
249938
