Reaction times,Ambulance
1.715,False
0.445,False
0.501,False
0.855,False
0.62,False
0.989,False
0.644,False
0.845,False
0.48,False
0.269,False
0.975,False
0.375,True
0.468,False
0.815,False
0.369,False
0.651,False
0.324,False
1.065,False
0.41,False
0.591,False
0.447,False
0.37,False
0.565,False
