Reaction times,Ambulance
0.282,False
0.601,False
0.214,False
0.372,False
0.288,False
0.366,False
0.265,False
0.476,False
0.194,False
0.327,False
0.404,False
0.343,False
0.411,False
0.441,False
0.241,False
0.38,False
0.253,False
0.409,False
0.281,False
0.349,False
0.23,False
0.465,False
0.282,False
0.671,False
0.596,False
0.47,False
0.305,False
0.362,False
0.258,False
0.44,False
0.379,False
0.348,False
0.218,False
