Start stimulus (sample)
8643
21167
27186
36677
42457
65377
71040
77589
83385
93898
99457
108191
113941
123684
129457
136985
142772
149591
155244
163776
169339
177873
183764
193278
199249
205075
210944
219611
225367
232875
238746
247377
253045
