Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.205,False,8988,9193
0.287,False,17516,17803
0.187,False,23062,23249
0.329,False,32522,32851
0.322,False,38294,38616
0,True,44590,50613
0.502,False,50111,58825
2.847,False,55978,70657
0.537,False,70120,76276
0.19,False,76086,85957
0.346,False,85611,91555
0.196,False,91359,98229
0.347,False,97882,103632
0.183,False,103449,107372
0.365,False,107007,112900
0.219,False,112681,119598
0.412,False,119186,125158
0.284,False,124874,133771
0.578,False,133193,139556
0.269,False,139287,145438
0.483,False,144955,151122
0.233,False,150889,161080
0.346,False,160734,166661
0.286,False,166375,174100
0.113,False,173987,179666
0.2,False,179466,
0,False,183081,
