Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.343,False,8756,9099
0.46,False,20191,20651
0.203,False,26097,26300
0.299,False,33612,33911
0.417,False,39279,39696
0.271,False,47108,47379
0.217,False,52765,52982
0.28,False,62240,62520
0.448,False,68012,68460
0.332,False,73788,74120
0.215,False,79485,79700
0.451,False,89984,90435
0.253,False,95763,96016
0.289,False,102504,102793
0.265,False,108296,108561
0.365,False,120004,120369
0.357,False,125668,126025
0.306,False,137299,137605
0.323,False,142991,143314
0.363,False,161263,161626
0.292,False,166973,167265
0.502,False,177639,178141
0.251,False,183549,183800
