Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.744,True,19081,19825
0.595,False,24073,24668
0.757,False,29944,30701
0.632,True,33488,34120
0.402,False,40974,41376
0.28,False,46745,47025
0.35,False,55275,55625
0.408,False,60941,61349
0,False,68672,
