Start stimulus (sample)
8676
15333
21379
31113
36742
42284
48263
57810
63656
70181
75878
83538
89222
96058
101995
110780
117369
125890
131513
139239
145987
152540
158388
169087
174684
182193
187672
194291
200074
207631
213265
220794
226581
238196
244363
255091
260758
268596
274296
281864
287483
295102
