Start stimulus (sample)
8950
17495
23267
27888
33664
40583
46155
49681
55459
61989
67735
78496
84176
92925
98552
107353
113089
122685
128385
135992
141756
151783
156082
162483
172088
177783
187503
193295
203202
208868
214400
220095
226984
232764
