Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.323,False,8643,8966
0.602,False,21298,21900
0.275,False,27286,27561
0.553,False,41272,41825
0.277,False,47062,47339
0.349,False,58675,59024
0.361,False,64362,64723
0.621,False,74074,74695
0.29,False,80042,80332
