Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.889,False,8663,9552
0.417,False,23880,24297
0.297,False,29544,29841
0.4,False,40989,41389
0.226,False,46747,46973
0.586,False,53274,53860
0.283,False,59266,59549
0.514,False,68872,69386
0.802,False,74641,75443
0.459,False,86693,87152
0.503,False,92451,92954
0.379,False,106326,106705
0.213,False,112044,112257
