Start stimulus (sample)
11057
22774
28447
37974
43743
55379
61143
70781
76443
82976
88545
99082
104747
117278
122941
133577
139249
146381
152044
157289
161980
167968
177580
183346
190176
195750
209286
215051
219585
225344
234885
240546
