Reaction times,Ambulance
0.367,False
0.326,False
0.276,False
0.468,False
0.266,False
0.284,False
0.357,False
0.337,False
0.282,False
0.333,False
0.232,False
0.307,False
0.278,False
0.415,False
0.32,False
0.323,False
0.851,False
0.419,False
0.256,False
0.663,True
0.45,False
0.371,False
0.341,False
0.337,False
0.324,False
0.25,False
0.414,False
0.265,False
0.472,False
0.256,False
0.323,False
0.393,False
