Game,Mean,Green,Red,Ambulance
1,0.539,0.4464,0.5964,0.715
2,0.5222142857142857,0.4815,0.5168,0.6126666666666667
3,0.4950000000000001,0.37800000000000006,0.6354,
4,0.41292857142857137,0.4604285714285714,0.3539999999999999,0.434
5,0.37399999999999994,0.3953333333333333,0.303,0.452
