Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.288,False,11668,11956
0.732,False,25668,26400
0.452,False,31748,32200
0.73,False,41495,42225
0.553,False,47547,48100
0.729,False,56371,57100
0.344,False,62345,62689
0.53,False,71087,71617
0.354,False,76946,77300
0.456,False,85669,86125
0.277,False,91443,91720
