Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.423,False,8879,9302
0.46,False,31865,32325
0.759,False,37595,38354
0.409,False,48791,49200
0.408,False,54592,55000
0.41,False,64290,64700
0.331,False,70094,70425
0.602,True,76902,77504
0.426,False,81581,82007
0.269,False,87356,87625
2.799,False,94925,97724
0.521,False,102979,103500
0.449,False,113882,114331
0.778,False,119575,120353
0.666,True,124876,125542
0.532,False,130668,131200
0.664,False,136656,137320
0.449,False,146016,146465
0.366,False,152478,152844
0.435,False,161201,161636
0.659,False,166974,167633
0,False,172886,
