Start stimulus (sample)
12189
27189
32817
42233
47874
55546
61292
69900
75545
85107
90866
97466
103075
110604
116374
124886
130677
142382
148059
157391
162740
168365
174890
180495
191200
196785
200398
206304
216895
223466
229193
234954
243748
249464
258192
263884
271396
277181
285740
291455
