Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.638,False,11062,11700
0.383,False,22975,23358
0.23,False,28739,28969
1.476,False,42773,44249
0.58,False,49545,50125
0.417,False,55408,55825
0.913,False,61042,61955
0.561,False,70174,70735
0.88,False,76041,76921
0.536,False,85872,86408
0.349,False,91744,92093
0.849,False,96376,97225
0.284,False,102140,102424
0,False,110794,
