Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.411,False,11062,11473
0.404,False,22975,23379
0.219,False,28739,28958
0.476,False,43773,44249
0.522,False,49545,50067
0.417,False,55408,55825
0.847,False,61042,61889
0.555,False,70174,70729
0.819,False,76041,76860
0.328,False,85872,86200
0.331,False,91744,92075
0.557,False,96376,96933
0.185,False,102140,102325
0,False,110794,
