Game,Mean,Green,Red,Ambulance
1,0.4968333333333334,0.5513333333333333,0.4423333333333333,
2,0.44266666666666665,0.38342857142857145,0.4718333333333333,0.5625
3,0.38121052631578944,0.3436,0.4145,0.491
4,0.35644444444444445,0.31325,0.3935,0.381
5,0.3534,0.3101111111111111,0.39,0.547
