Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.279,False,11646,11925
0.245,False,23175,23420
0.206,False,28749,28955
0.39,False,37299,37689
0.181,False,43058,43239
0.306,False,50494,50800
0.184,False,56050,56234
0.334,False,62592,62926
0.251,False,68347,68598
0.427,False,74898,75325
0.22,False,80648,80868
0.374,False,91183,91557
0.272,False,96848,97120
0.455,False,106493,106948
0.46,False,112340,112800
0.426,False,118074,118500
0.283,False,123742,124025
