Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.297,False,8756,9053
0.45,False,20191,20641
0.203,False,26097,26300
0.284,False,33612,33896
0.438,False,39279,39717
0.293,False,47108,47401
0.236,False,52765,53001
0.295,False,62240,62535
0.437,False,68012,68449
0.285,False,73788,74073
0.238,False,79485,79723
0.409,False,89984,90393
0.27,False,95763,96033
0.267,False,102504,102771
0.257,False,108296,108553
0.276,False,120004,120280
0.356,False,125668,126024
0.306,False,137299,137605
0.266,False,142991,143257
0.333,False,161263,161596
0.314,False,166973,167287
0.418,False,177639,178057
0.249,False,183549,183798
