Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
0.278,False,8647,8925
0.374,False,17175,17549
0.292,False,22963,23255
0.271,False,28582,28853
0.279,False,34246,34525
0.355,False,39776,40131
0.298,False,45475,45773
0.31,False,54689,54999
0.059,False,60353,60412
0.446,True,63570,64016
0.551,True,68375,68926
0.348,False,73183,73531
0.0,False,78841,78841
0.691,False,88074,88765
0.447,False,94156,94603
0.316,False,105175,105491
0.271,False,110842,111113
