Game,Mean,Green,Red,Ambulance
1,0.39709090909090905,0.41616666666666663,0.3742,
2,0.32299999999999995,0.24749999999999997,0.36,0.628
3,0.35259999999999997,0.2711666666666667,0.38071428571428567,0.49850000000000005
4,0.32299999999999995,0.24749999999999997,0.36,0.628
5,0.31616666666666665,0.29683333333333334,0.2914,0.556
