Reaction time,Ambulance,Start stimulus (sample),Detected activity (sample)
1.308,False,11138,12446
0.531,False,30805,31336
0.551,False,36674,37225
0.519,False,45481,46000
0.438,False,51343,51781
0,False,61669,
