Game,Mean,Green,Red,Ambulance
1,0.6694000000000001,0.7656666666666666,0.525,
2,0.5008888888888889,0.45824999999999994,0.433,0.6880000000000001
3,0.5610909090909092,0.4629999999999999,0.6445000000000001,0.816
4,0.38928571428571423,0.28813333333333335,0.506,
5,0.3468,0.26766666666666666,0.4655,
