Reaction times,Ambulance
0.278,False
0.46,False
0.289,False
0.765,False
0.169,False
0.581,False
0.351,False
0.595,False
0.261,False
0.629,False
0.512,False
1.055,False
0.41,False
0.425,False
0.191,False
0.362,False
0.215,False
0.0,False
0.224,False
0.311,False
0.38,False
0.419,False
0.217,False
0.447,False
0.204,False
0.245,False
0.179,False
0.322,False
0.442,False
