Reaction times,Ambulance
0.51,False
0.431,False
0.301,False
0.771,False
0.281,False
0.771,False
0.289,False
0.665,False
0.279,False
0.622,True
0.477,False
0.322,False
0.426,False
0.364,False
0.462,False
0.27,False
0.373,False
0.554,False
1.029,False
0.316,False
0.53,False
0.307,False
0.419,False
0.369,False
0.349,False
0.389,False
0.557,False
0.314,False
0.511,False
0.846,False
0.855,True
0.322,False
0.265,False
0.0,True
